State,Name,Address,Grade
CA,Palo Verde Hospital,"250 N. First Street Blythe, CA 92225-1702",d
CA,Pioneers Memorial Healthcare District,"207 W. Legion Road Brawley, CA 92227-7780",f
CA,El Centro Regional Medical Center,"1415 Ross Avenue El Centro, CA 92243-4398",f
CA,Hi-Desert Medical Center,"6601 White Feather Road Joshua Tree, CA 92252-6601",c
CA,John F. Kennedy Memorial Hospital,"47-111 Monroe Street Indio, CA 92201",a
CA,Eisenhower Medical Center,"39000 Bob Hope Drive Rancho Mirage, CA 92270-3221",a
CA,Desert Regional Medical Center,"1150 N. Indian Canyon Drive Palm Springs, CA 92262-4872",b
CA,San Gorgonio Memorial Hospital,"600 N. Highland Springs Avenue Banning, CA 92220-3046",c
CA,Hemet Valley Medical Center,"1117 E. Devonshire Avenue Hemet, CA 92543-3083",c
CA,St. Joseph Health Saint Mary,"18300 Highway 18 Apple Valley, CA 92307-2206",c
CA,Victor Valley Community Hospital,"15248 Eleventh Street Victorville, CA 92395",d
CA,Desert Valley Hospital,"16850 Bear Valley Road Victorville, CA 92395",d
CA,Redlands Community Hospital,"350 Terracina Boulevard Redlands, CA 92373-4897",a
CA,Kaiser Permanente Moreno Valley Community Hospital,"27300 Iris Avenue Moreno Valley, CA 92555-4800",b
CA,Riverside University Health System - Medical Center,"26520 Cactus Avenue Moreno Valley, CA 92555-3911",c
CA,St. Bernardine Medical Center,"2101 N. Waterman Avenue San Bernardino, CA 92404-4836",d
CA,Loma Linda University Medical Center East Campus,"25333 Barton Road Loma Linda, CA 92354",c
CA,Loma Linda University Medical Center,"11234 Anderson Street Loma Linda, CA 92354",c
CA,Menifee Valley Medical Center,"28400 McCall Boulevard Sun City, CA 92585-9537",c
CA,COMMUNITY HOSPITAL OF SAN BERNARDINO,"1805 MEDICAL CENTER DRIVE SAN BERNARDINO, CA 92411-1214",c
CA,Temecula Valley Hospital,"31700 Temecula Parkway Temecula, CA 92592-5896",a
CA,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,"28062 Baxter Road Murrieta, CA 92563",b
CA,Arrowhead Regional Medical Center,"400 N. Pepper Avenue Colton, CA 92324-1819",f
CA,Rancho Springs Medical Center,"25500 Medical Center Drive Murrieta, CA 92562-5965",f
CA,Inland Valley Medical Center,"36485 Inland Valley Drive Wildomar, CA 92595-9700",f
CA,Riverside Community Hospital,"4445 Magnolia Avenue Riverside, CA 92501-4199",c
CA,Pomerado Hospital,"15615 Pomerado Road Poway, CA 92064-2460",b
CA,Kaiser Permanente Fontana Medical Center,"9961 Sierra Avenue Fontana, CA 92335-6720",a
CA,Sharp Grossmont Hospital,"5555 Grossmont Center Drive La Mesa, CA 91942-3019",a
CA,Palomar Medical Center,"2185 Citracado Parkway Escondido, CA 92029-4159",c
CA,Parkview Community Hospital Medical Center,"3865 Jackson Street Riverside, CA 92503-3998",d
CA,Alvarado Hospital Medical Center,"6655 Alvarado Road San Diego, CA 92120-5208",c
CA,Sharp Chula Vista Medical Center,"751 Medical Center Court Chula Vista, CA 91911-6699",b
CA,Kaiser Permanente Riverside Medical Center,"10800 Magnolia Avenue Riverside, CA 92505-3000",b
