State,Name,Address,Grade
AK,Fairbanks Memorial Hospital,"1650 COWLES STREET Fairbanks, AK 99701-5998",C
AK,Mat-Su Regional Medical Center,"2500 South Woodworth Loop Palmer, AK 99645",C
AK,Alaska Regional Hospital,"2801 DEBARR ROAD Anchorage, AK 99508-2997",B
AK,Providence Alaska Medical Center,"3200 Providence Drive Anchorage, AK 99508-4615",C
AK,Central Peninsula General Hospital,"250 Hospital Place Soldotna, AK 99669-6999",B
AL,Medical Center Barbour,"820 W. Washington Street Eufaula, AL 36027-1899",A
AL,Southeast Alabama Medical Center,"1108 Ross Clark Circle Dothan, AL 36301-3024",C
AL,Flowers Hospital,"4370 W. Main Street Dothan, AL 36305-4000",B
AL,East Alabama Medical Center,"2000 Pepperell Parkway Opelika, AL 36802-3201",A
AL,Medical Center Enterprise,"400 N. Edwards Street Enterprise, AL 36330",B
AL,DeKalb Regional Medical Center,"200 Medical Center Drive Fort Payne, AL 35968-3415",A
AL,Northeast Alabama Regional Medical Center,"400 10th Street East Anniston, AL 36207-4716",C
AL,Stringfellow Memorial Hospital,"301 E. 18th Street Anniston, AL 36207-0038",C
AL,Troy Regional Medical Center,"1330 Highway 231 S. Troy, AL 36081-1224",A
AL,Russell Medical Center,"3316 Highway 280 Alexander City, AL 35010-3369",A
AL,Gadsden Regional Medical Center,"1007 Goodyear Avenue Gadsden, AL 35903-1195",C
AL,Riverview Regional Medical Center,"600 S. Third Street Gadsden, AL 35901-5399",C
AL,Citizens Baptist Medical Center,"604 Stone Avenue Talladega, AL 35160-2217",B
AL,Highlands Medical Center,"380 Woods Cove Road Scottsboro, AL 35768-2428",B
AL,Baptist Medical Center East,"400 Taylor Road Montgomery, AL 36117-3512",A
AL,Baptist Medical Center South,"2105 E. South Boulevard Montgomery, AL 36116-2498",D
AL,Jackson Hospital,"1725 Pine Street Montgomery, AL 36106-1117",C
AL,Marshall Medical Center South,"2505 US Highway 431 N. Boaz, AL 35957-0999",B
AL,St. Vincent's St. Clair,"7063 Veterans Parkway Pell City, AL 35125",A
AL,Andalusia Health,"849 S. Three Notch Street Andalusia, AL 36420-5325",B
AL,Prattville Baptist Hospital,"124 S. Memorial Drive Prattville, AL 36067-3619",A
AL,Marshall Medical Center North,"8000 Alabama Highway 69 Guntersville, AL 35976",B
AL,Crestwood Medical Center,"One Hospital Drive Huntsville, AL 35801-3403",C
AL,Huntsville Hospital,"101 Sivley Road Huntsville, AL 35801-4470",C
AL,St. Vincent's East,"50 Medical Park E. Drive Birmingham, AL 35235-9987",C
AL,Grandview Medical Center,"3690 Grandview Parkway Birmingham, AL 35243",B
AL,Brookwood Baptist Medical Center,"2010 Brookwood Medical Center Drive Birmingham, AL 35209-6875",B
AL,St. Vincent's Birmingham,"810 St. Vincent's Drive Birmingham, AL 35205-1695",B
