,Address,City,Name,Rating,State,ZipCode
0,336 W Black Butte Blvd,Redmond,The Ross Clinic,5.0,OR,97756
1,1501 NE Medical Center Dr,Bend,Bend Memorial Clinic,3.5,OR,97701
2,1253 NW Canal Blvd,Redmond,St Charles Medical Center-Redmond,5.0,OR,97756
3,1302 NE 3rd St,Bend,Mountain Medical Immediate Care,4.5,OR,97701
4,865 SW Veterans Way,Redmond,Bend Memorial Clinic,1.0,OR,97756
5,2088 NE Kim Ln,Bend,St Charles Medical Center - Bend,5.0,OR,97701
6,1501 NE Medical Ctr Dr,Bend,Bend Memorial Clinic,2.5,OR,97701
7,2084 NE Professional Ct.,Bend,Mosaic Medical,2.5,OR,97701
8,61535 S Hwy 97,Bend,Coffman Vision Clinic,5.0,OR,97702
9,464 NE Norton Ave,Bend,Center For Integrative Medicine,5.0,OR,97701
10,36860 Industrial Way,Sandy,Legacy Medical Group-Firwood,2.0,OR,97055
11,2850 SE Powell Valley Rd,Gresham,Legacy-GoHealth Urgent Care - Gresham,2.5,OR,97045
12,440 NW Division St,Gresham,Providence Medical Group,4.0,OR,97030
13,2075 NE Division St,Gresham,Rose City Urgent Care and Family Practice,1.5,OR,97030
14,831 NW Council Dr,Gresham,Columbia Pain and Spine Institute,3.0,OR,97030
15,24076 SE Stark,Gresham,Center For Men's & Women's Urology,1.0,OR,97030
16,10180 SE Sunnyside Rd,Clackamas,Kaiser Permanente Brookside Center,2.5,OR,97015
17,1111 NE 99th Ave,Portland,The Oregon Clinic,3.5,OR,97220
18,1900 SE McLoughlin Blvd,Oregon City,Legacy-GoHealth Urgent Care - Oregon City,4.0,OR,97045
19,9290 SE Sunnybrook Blvd,Clackamas,Providence Clackamas Medical Plaza,4.5,OR,97015
20,124 NE 181st Ave,Portland,The Wallace Medical Concern,1.5,OR,97230
21,13518 SE 97th Ave,Clackamas,Northwest Sleep Health,4.0,OR,97015
22,1500 Division St,Oregon City,Providence Williamette Falls Medical Center,2.5,OR,97045
23,2020 SE 182nd Ave,Gresham,Rockwood Community Health Center,1.0,OR,97233
24,12100 SE Stevens Ct,Clackamas,Kaiser Permanente Clackamas Eye Care,3.5,OR,97086
25,9800 SE Sunnyside Road,Clackamas,Kaiser Permanente Mt. Scott Medical Office,2.5,OR,97015
26,4160 NE Sandy Blvd,Portland,Portland Urgent Care,4.0,OR,97212
27,902 SE 164th Ave,Vancouver,ZOOM+Care - Mill Plain,4.5,WA,98683
28,1508 Division St,Oregon City,Northwest Primary Care - Oregon City,5.0,OR,97045
29,10100 SE Sunnyside Road,Clackamas,Kaiser Permanente Mt. Talbert Medical Office,2.0,OR,97015
30,12710 SE Division St,Portland,Multnomah County Health Department,4.0,OR,97236
31,4805 NE Glisan St,Portland,Providence Portland Medical Center,4.0,OR,97213
32,8935 SE Powell Blvd,Portland,Rosewood Family Health Center,2.5,OR,97266
33,3325 SE Hawthorne Blvd,Portland,ZOOM+Care - Hawthorne District,4.0,OR,97214
34,1700 NE 102nd Ave,Portland,Kaiser Permanente Gateway Medical Office,2.5,OR,97220
35,10201 SE Main Street,Portland,Adventist Health Medical Group Portland Lung Clinic,4.0,OR,97216
36,3231 SE 50th,Portland,Planned Parenthood - SE Portland Center,3.0,OR,97206
37,7033 NE Sandy Blvd,Portland,AFC Urgent Care,3.0,OR,97213
38,5847 NE 122nd Ave,Portland,The Portland Clinic - Columbia,3.0,OR,97220
39,5050 NE Hoyt St,Portland,The Oregon Clinic,3.0,OR,97213
40,1111 NE 99th Ave,Portland,Providence Heart Clinic at The Oregon,5.0,OR,97220
41,819 NE 47th Avenue,Portland,Providence Cancer Center,4.0,OR,97213
42,305 SE Chkalov Dr,Vancouver,Legacy-GoHealth Urgent Care - Cascade Park,4.5,WA,98683
43,12029 NE Glenn Widing Dr,Portland,Apria Healthcare,1.5,OR,97220
44,203 SE Park Plaza Dr Suite 140,Vancouver,Kaiser Permanente Mill Plain One Medical Office,5.0,WA,98684
45,7410 Delaware Ln,Vancouver,Sea-Mar Community Health Center,2.0,WA,98664
46,5050 NE Hoyt St,Portland,Providence Medical Group-Cascade,1.5,OR,97213
47,2722 NE 33rd Ave,Portland,Northwest Surrogacy Center,1.0,OR,97212
48,11803 SE Mill Plain Blvd,Vancouver,CSL Plasma,1.0,WA,98684
49,4610 NE 77th Ave,Vancouver,Passport Health,2.5,WA,98662
50,9430 NE Vancouver Mall Dr,Vancouver,Man Alive,5.0,WA,98662
51,301 Industrial Road,San Carlos,Palo Alto Medical Foundation  San Carlos Center,3.0,CA,94070
52,1000 Franklin Parkway,San Mateo,Kaiser Permanente San Mateo Medical Offices,3.5,CA,94403
53,100 S San Mateo Dr,San Mateo,Mills-Peninsula Health Services,4.5,CA,94401
54,1100 Veterans Blvd,Redwood City,Kaiser Permanente Redwood City Medical Center,3.0,CA,94063
55,575 Prospect St,San Carlos,Crystal Springs Alternative Health,4.5,CA,94070
56,125 Shoreway Rd,San Carlos,U.S. HealthWorks Medical Group,1.5,CA,94070
57,975 Industrial Rd,San Carlos,"SleepQuest, Inc",3.5,CA,94070
58,CVS Store,Foster City,Minute Clinic,3.0,CA,94404
59,1777 Borel Pl,San Mateo,Brain Balancing International,5.0,CA,94402
60,1048 El Camino Real,Redwood City,Labcorp,4.0,CA,94063
61,222 W 39th Ave,San Mateo,Edison Clinic,2.0,CA,94403
62,1100 Laurel St,San Carlos,Quest Diagnostics Incorporated,3.5,CA,95116
63,216 2nd Ave,San Mateo,Holistic Solutions,4.5,CA,94497
64,3635 Jefferson Ave,Redwood City,Devonshire Oaks Nursing Center,4.5,CA,94062
65,363 Main St,Redwood City,Remedy Medical Group,4.5,CA,94063
66,101 S San Mateo Dr,San Mateo,Mills Square Medical,5.0,CA,94401
67,2907 El Camino Real,Redwood City,Planned Parenthood - Redwood City Health Center,3.5,CA,94061
68,100 S San Mateo Dr,San Mateo,Palo Alto Medical Foundation,3.0,CA,94401
69,100 S San Mateo Dr,San Mateo,Dorothy E Schneider Cancer Center,4.5,CA,94401
70,363-C Main St,Redwood City,The Moncada Center,2.0,CA,94063
71,450 Broadway St,Redwood City,Stanford Infusion Therapy Center,4.5,CA,94063
72,910 Marshall St,Redwood City,Kaiser Medical Center Birch Pharmacy,2.5,CA,94063
73,1720 El Camino Real,Burlingame,"Peninsula Sleep Center, Inc",4.0,CA,94010
74,1838 El Camino Real,Burlingame,Lemi Medical Center,2.0,CA,94010
75,1720 El Camino Real,Burlingame,Lee's Acupuncture Center,5.0,CA,94010
76,3351  El Camino Real,Atherton,Gardner Packard Children's Health Center,2.0,CA,94027
77,1501 Trousdale Dr,Burlingame,Mills-Peninsula Medical Center,5.0,CA,94010
78,1828 El Camino Real,Burlingame,Penninsula Women's Health,1.0,CA,94010
79,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
80,2401 Keith St,San Francisco,Southeast Health Center,3.5,CA,94124
81,100 N Hill Dr,Brisbane,Focus Surgical,3.0,CA,94005
82,2574 San Bruno Ave,San Francisco,North East Medical Services - Portola,3.0,CA,94134
83,1525 Silver Ave,San Francisco,Silver Avenue Family Health Center,2.5,CA,94134
84,3450 3rd St,San Francisco,Bayview Child Health Center,5.0,CA,94124
85,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
86,336 W Black Butte Blvd,Redmond,The Ross Clinic,5.0,OR,97756
87,1501 NE Medical Center Dr,Bend,Bend Memorial Clinic,3.5,OR,97701
88,1253 NW Canal Blvd,Redmond,St Charles Medical Center-Redmond,5.0,OR,97756
89,1302 NE 3rd St,Bend,Mountain Medical Immediate Care,4.5,OR,97701
90,865 SW Veterans Way,Redmond,Bend Memorial Clinic,1.0,OR,97756
91,2088 NE Kim Ln,Bend,St Charles Medical Center - Bend,5.0,OR,97701
92,1501 NE Medical Ctr Dr,Bend,Bend Memorial Clinic,2.5,OR,97701
93,2084 NE Professional Ct.,Bend,Mosaic Medical,2.5,OR,97701
