,Address,City,Name,Rating,State,ZipCode
0,336 W Black Butte Blvd,Redmond,The Ross Clinic,5.0,OR,97756
1,1501 NE Medical Center Dr,Bend,Bend Memorial Clinic,3.5,OR,97701
2,1253 NW Canal Blvd,Redmond,St Charles Medical Center-Redmond,5.0,OR,97756
3,1302 NE 3rd St,Bend,Mountain Medical Immediate Care,4.5,OR,97701
4,865 SW Veterans Way,Redmond,Bend Memorial Clinic,1.0,OR,97756
5,2088 NE Kim Ln,Bend,St Charles Medical Center - Bend,5.0,OR,97701
6,1501 NE Medical Ctr Dr,Bend,Bend Memorial Clinic,2.5,OR,97701
7,2084 NE Professional Ct.,Bend,Mosaic Medical,2.5,OR,97701
8,61535 S Hwy 97,Bend,Coffman Vision Clinic,5.0,OR,97702
9,464 NE Norton Ave,Bend,Center For Integrative Medicine,5.0,OR,97701
10,301 Industrial Road,San Carlos,Palo Alto Medical Foundation  San Carlos Center,3.0,CA,94070
11,1000 Franklin Parkway,San Mateo,Kaiser Permanente San Mateo Medical Offices,3.5,CA,94403
12,100 S San Mateo Dr,San Mateo,Mills-Peninsula Health Services,4.5,CA,94401
13,1100 Veterans Blvd,Redwood City,Kaiser Permanente Redwood City Medical Center,3.0,CA,94063
14,575 Prospect St,San Carlos,Crystal Springs Alternative Health,4.5,CA,94070
15,125 Shoreway Rd,San Carlos,U.S. HealthWorks Medical Group,1.5,CA,94070
16,975 Industrial Rd,San Carlos,"SleepQuest, Inc",3.5,CA,94070
17,CVS Store,Foster City,Minute Clinic,3.0,CA,94404
18,1777 Borel Pl,San Mateo,Brain Balancing International,5.0,CA,94402
19,1048 El Camino Real,Redwood City,Labcorp,4.0,CA,94063
20,222 W 39th Ave,San Mateo,Edison Clinic,2.0,CA,94403
21,1100 Laurel St,San Carlos,Quest Diagnostics Incorporated,3.5,CA,95116
22,216 2nd Ave,San Mateo,Holistic Solutions,4.5,CA,94497
23,3635 Jefferson Ave,Redwood City,Devonshire Oaks Nursing Center,4.5,CA,94062
24,363 Main St,Redwood City,Remedy Medical Group,4.5,CA,94063
25,101 S San Mateo Dr,San Mateo,Mills Square Medical,5.0,CA,94401
26,2907 El Camino Real,Redwood City,Planned Parenthood - Redwood City Health Center,3.5,CA,94061
27,100 S San Mateo Dr,San Mateo,Palo Alto Medical Foundation,3.0,CA,94401
28,100 S San Mateo Dr,San Mateo,Dorothy E Schneider Cancer Center,4.5,CA,94401
29,363-C Main St,Redwood City,The Moncada Center,2.0,CA,94063
30,450 Broadway St,Redwood City,Stanford Infusion Therapy Center,4.5,CA,94063
31,910 Marshall St,Redwood City,Kaiser Medical Center Birch Pharmacy,2.5,CA,94063
32,1720 El Camino Real,Burlingame,"Peninsula Sleep Center, Inc",4.0,CA,94010
33,1838 El Camino Real,Burlingame,Lemi Medical Center,2.0,CA,94010
34,1720 El Camino Real,Burlingame,Lee's Acupuncture Center,5.0,CA,94010
35,3351  El Camino Real,Atherton,Gardner Packard Children's Health Center,2.0,CA,94027
36,1501 Trousdale Dr,Burlingame,Mills-Peninsula Medical Center,5.0,CA,94010
37,1828 El Camino Real,Burlingame,Penninsula Women's Health,1.0,CA,94010
38,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
39,2401 Keith St,San Francisco,Southeast Health Center,3.5,CA,94124
40,100 N Hill Dr,Brisbane,Focus Surgical,3.0,CA,94005
41,2574 San Bruno Ave,San Francisco,North East Medical Services - Portola,3.0,CA,94134
42,1525 Silver Ave,San Francisco,Silver Avenue Family Health Center,2.5,CA,94134
43,3450 3rd St,San Francisco,Bayview Child Health Center,5.0,CA,94124
44,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
45,336 W Black Butte Blvd,Redmond,The Ross Clinic,5.0,OR,97756
46,1501 NE Medical Center Dr,Bend,Bend Memorial Clinic,3.5,OR,97701
47,1253 NW Canal Blvd,Redmond,St Charles Medical Center-Redmond,5.0,OR,97756
48,1302 NE 3rd St,Bend,Mountain Medical Immediate Care,4.5,OR,97701
49,865 SW Veterans Way,Redmond,Bend Memorial Clinic,1.0,OR,97756
50,2088 NE Kim Ln,Bend,St Charles Medical Center - Bend,5.0,OR,97701
51,1501 NE Medical Ctr Dr,Bend,Bend Memorial Clinic,2.5,OR,97701
52,2084 NE Professional Ct.,Bend,Mosaic Medical,2.5,OR,97701
53,61535 S Hwy 97,Bend,Coffman Vision Clinic,5.0,OR,97702
54,464 NE Norton Ave,Bend,Center For Integrative Medicine,5.0,OR,97701
55,100 N Hill Dr,Brisbane,Focus Surgical,3.0,CA,94005
56,306 Spruce Avenue,South San Francisco,San Mateo Medical Center,2.0,CA,94080
57,2401 Keith St,San Francisco,Southeast Health Center,3.5,CA,94124
58,3 S Linden Ave,South San Francisco,Pacific Occupational Health Clinic,2.0,CA,94080
59,468 Littlefield Ave,South San Francisco,Berkeley HeartLab,2.5,CA,94080
60,1200 El Camino Real,South San Francisco,Kaiser Permanente,1.5,CA,94080
61,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
62,336 W Black Butte Blvd,Redmond,The Ross Clinic,5.0,OR,97756
63,1501 NE Medical Center Dr,Bend,Bend Memorial Clinic,3.5,OR,97701
64,1253 NW Canal Blvd,Redmond,St Charles Medical Center-Redmond,5.0,OR,97756
65,1302 NE 3rd St,Bend,Mountain Medical Immediate Care,4.5,OR,97701
66,865 SW Veterans Way,Redmond,Bend Memorial Clinic,1.0,OR,97756
67,2088 NE Kim Ln,Bend,St Charles Medical Center - Bend,5.0,OR,97701
68,1501 NE Medical Ctr Dr,Bend,Bend Memorial Clinic,2.5,OR,97701
69,2084 NE Professional Ct.,Bend,Mosaic Medical,2.5,OR,97701
70,61535 S Hwy 97,Bend,Coffman Vision Clinic,5.0,OR,97702
71,464 NE Norton Ave,Bend,Center For Integrative Medicine,5.0,OR,97701
72,36860 Industrial Way,Sandy,Legacy Medical Group-Firwood,2.0,OR,97055
73,2850 SE Powell Valley Rd,Gresham,Legacy-GoHealth Urgent Care - Gresham,2.5,OR,97045
74,440 NW Division St,Gresham,Providence Medical Group,4.0,OR,97030
75,2075 NE Division St,Gresham,Rose City Urgent Care and Family Practice,1.5,OR,97030
76,831 NW Council Dr,Gresham,Columbia Pain and Spine Institute,3.0,OR,97030
77,24076 SE Stark,Gresham,Center For Men's & Women's Urology,1.0,OR,97030
78,10180 SE Sunnyside Rd,Clackamas,Kaiser Permanente Brookside Center,2.5,OR,97015
79,1111 NE 99th Ave,Portland,The Oregon Clinic,3.5,OR,97220
80,1900 SE McLoughlin Blvd,Oregon City,Legacy-GoHealth Urgent Care - Oregon City,4.0,OR,97045
81,9290 SE Sunnybrook Blvd,Clackamas,Providence Clackamas Medical Plaza,4.5,OR,97015
82,124 NE 181st Ave,Portland,The Wallace Medical Concern,1.5,OR,97230
83,13518 SE 97th Ave,Clackamas,Northwest Sleep Health,4.0,OR,97015
84,1500 Division St,Oregon City,Providence Williamette Falls Medical Center,2.5,OR,97045
85,2020 SE 182nd Ave,Gresham,Rockwood Community Health Center,1.0,OR,97233
86,12100 SE Stevens Ct,Clackamas,Kaiser Permanente Clackamas Eye Care,3.5,OR,97086
87,9800 SE Sunnyside Road,Clackamas,Kaiser Permanente Mt. Scott Medical Office,2.5,OR,97015
88,4160 NE Sandy Blvd,Portland,Portland Urgent Care,4.0,OR,97212
89,902 SE 164th Ave,Vancouver,ZOOM+Care - Mill Plain,4.5,WA,98683
90,1508 Division St,Oregon City,Northwest Primary Care - Oregon City,5.0,OR,97045
91,10100 SE Sunnyside Road,Clackamas,Kaiser Permanente Mt. Talbert Medical Office,2.0,OR,97015
92,12710 SE Division St,Portland,Multnomah County Health Department,4.0,OR,97236
93,4805 NE Glisan St,Portland,Providence Portland Medical Center,4.0,OR,97213
94,8935 SE Powell Blvd,Portland,Rosewood Family Health Center,2.5,OR,97266
